term,estimate,std.error,statistic,p.value,model
OLS,476.51531781366685,145.3853178104415,3.277602752397352,0.0011200397081959537,1
OLS + control,72.87565761527696,20.555014034738758,3.5453956631756283,4.2909246194280584e-4,1
OLS + interaction,48.88818893737525,23.55927472119134,2.0751143452391934,0.03849085865448143,1
OLS + quadradic,7.0241859822854815,1.2462835787072613,5.6361057004149036,2.9213450150830964e-8,1
Matching (logit),75.13963589186224,34.95309239004938,2.1497278424856443,0.0315767487635065,1
Matching (logit + quad),74.92626980463689,34.95759483477157,2.143347394429703,0.03208521382040633,1
Matching (genetic),74.63795500328604,50.04181924930005,1.4915116221385183,0.1395732758730663,1
SVA,17.981976252847172,7.758877285233738,2.3176002908396898,0.02087551774190587,1
RFA,5.96029718417493,1.5432056184077854,3.8622832324343883,1.2715696534246784e-4,1
OLS,769.4003548677337,142.77467509790603,5.388913365343865,1.0957383688744742e-7,2
OLS + control,117.21441363727175,22.389822904212956,5.235164839790503,2.436929598638306e-7,2
OLS + interaction,93.02536568402567,30.859042453924644,3.014525347729794,0.002705622158728739,2
OLS + quadradic,8.097555059387997,1.2420917680792487,6.519288886287306,1.7414279085729648e-10,2
Matching (logit),33.39556618761578,14.483007080762507,2.305844773905721,0.021119307396583586,2
Matching (logit + quad),31.082505204271417,14.559206304276422,2.134903823372684,0.03276886696704957,2
Matching (genetic),31.08250520426969,20.754667005826132,1.4976152204968833,0.13675421852621322,2
SVA,20.925836244121758,7.991571677294597,2.6184882134731504,0.009101077786814106,2
RFA,11.77948249469938,2.1177798597709723,5.56218458701051,4.3540928947291164e-8,2
OLS,564.9457357111712,135.47705219005923,4.1700474477302265,3.592317450589122e-5,3
OLS + control,83.22405236358021,20.3251415352178,4.0946358095158235,4.935008747069065e-5,3
OLS + interaction,71.22918910117744,25.605155240214227,2.7818300038778245,0.005611213299693037,3
OLS + quadradic,4.34480454206696,1.1565372000436591,3.756735660472438,1.9259148529398408e-4,3
Matching (logit),11.764430621230707,5.5034727929088545,2.137637645159072,0.03254616391854291,3
Matching (logit + quad),11.796408907189083,5.504991611772353,2.142856835960043,0.032124595858302955,3
Matching (genetic),11.796408907188816,7.838771523840366,1.5048797979775186,0.13509661470736548,3
SVA,32.25110070040036,7.604586735190316,4.24100635885419,2.6533793926375724e-5,3
RFA,5.478440883631117,2.7101783491880034,2.0214318682283445,0.043769463699592656,3
OLS,669.6439160568153,158.21591418368442,4.232468772258755,2.7525105692841752e-5,4
OLS + control,154.14114405856802,31.804714805578843,4.846487226841293,1.6824501892184354e-6,4
OLS + interaction,151.3499581268532,39.89248390163092,3.7939467118683377,1.6658093467671758e-4,4
OLS + quadradic,4.871477233791411,1.223782712707105,3.9806717182785776,7.899370906017281e-5,4
Matching (logit),58.54321129863035,20.91793749017874,2.7987085880774427,0.005130741879511227,4
Matching (logit + quad),52.37497269201387,21.128735487067033,2.4788503185187185,0.013180660588634539,4
Matching (genetic),52.37497269201433,30.05786229953732,1.742471642529966,0.08390520173047077,4
SVA,25.798994134918274,8.087256380303893,3.190079913597203,0.0015120007489946234,4
RFA,8.398972832983267,2.818822124876066,2.9796037000215265,0.003027181878395731,4
OLS,692.5936055021867,141.72684300405928,4.886820243941719,1.3840027474550461e-6,5
OLS + control,89.22783664641386,19.684594801432976,4.532876472515368,7.2982743035550375e-6,5
OLS + interaction,53.225875764330084,24.844859408096774,2.1423295213731066,0.03265316463778298,5
OLS + quadradic,3.194145015134265,1.3292417162227448,2.402982825584909,0.01662822588205459,5
Matching (logit),48.981234037030276,23.276742737443197,2.104299325276237,0.0353523448875396,5
Matching (logit + quad),48.804714258272234,23.27924753067223,2.09649019771658,0.03603872856470593,5
Matching (genetic),48.804714258272455,33.150982953594095,1.4721950877472019,0.1434227442857894,5
SVA,7.462900870722396,6.096648005857919,1.2240990235210765,0.22149366371714654,5
RFA,4.025124492894882,2.076322507486359,1.9385834707189997,0.05311675351830878,5
OLS,599.6002277776076,129.65656719174567,4.624526476093377,4.791600631865096e-6,6
OLS + control,73.69697463332027,16.367217361447334,4.50271863602863,8.367787172398853e-6,6
OLS + interaction,51.667593844375574,18.29055676002223,2.824823460667185,0.004921244811390772,6
OLS + quadradic,5.098841730765675,1.1365660911896702,4.486181463876507,9.020318446036366e-6,6
Matching (logit),7.085191247295087,4.12347441763411,1.7182575977663745,0.08574963984614425,6
Matching (logit + quad),7.083927794511617,4.120377717794793,1.7192423315751018,0.0855702557374353,6
Matching (genetic),6.320583824894522,5.882146971745751,1.0745368749292994,0.28493351652375776,6
SVA,14.423330092338233,8.976602993615488,1.6067692982074255,0.10873881448720624,6
